date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,final_outcome,home_form_scored,home_form_conceded,home_class_scored,home_class_conceded,away_form_scored,away_form_conceded,away_class_scored,away_class_conceded,target,nn_prob_away_win,nn_prob_draw,nn_prob_home_win,xgb_prob_home_win,xgb_prob_draw,xgb_prob_away_win,home_group,away_group
2026-06-17,England,Croatia,,,FIFA World Cup,Arlington,United States,True,,2.0,0.4,2.3,0.55,1.8,1.8,2.0,1.05,,0.19859841,0.18254134,0.61886024,0.633955,0.15260586,0.21343915,Group L,Group L
2026-06-17,Ghana,Panama,,,FIFA World Cup,Toronto,Canada,True,,0.6,2.2,1.35,1.15,1.8,2.2,1.85,1.1,,0.38202542,0.28160208,0.33637246,0.3674604,0.2712581,0.3612815,Group L,Group L
2026-06-18,Czech Republic,South Africa,,,FIFA World Cup,Atlanta,United States,True,,2.4,1.2,1.75,1.2,1.2,1.6,1.8,0.85,,0.27239215,0.24608603,0.48152184,0.4766377,0.23828706,0.28507528,Group A,Group A
2026-06-18,Mexico,South Korea,,,FIFA World Cup,Zapopan,Mexico,False,,1.6,0.2,1.3,0.85,1.6,1.0,1.75,0.95,,0.2906141,0.2787107,0.4306752,0.43768182,0.3031908,0.25912738,Group A,Group A
2026-06-18,Switzerland,Bosnia and Herzegovina,,,FIFA World Cup,Inglewood,United States,True,,1.6,1.2,1.9,1.25,2.0,1.0,1.4,1.65,,0.18048611,0.20184731,0.6176666,0.5341732,0.24253212,0.22329469,Group B,Group B
2026-06-18,Canada,Qatar,,,FIFA World Cup,Vancouver,Canada,False,,0.8,0.4,1.5,0.55,0.8,1.6,1.3,1.95,,0.12244681,0.15978953,0.71776366,0.81313264,0.12395865,0.06290874,Group B,Group B
2026-06-19,Scotland,Morocco,,,FIFA World Cup,Foxborough,United States,True,,1.6,1.6,1.35,1.25,2.2,0.4,1.9,0.3,,0.4754799,0.29703534,0.22748478,0.20939413,0.2244843,0.5661216,Group C,Group C
2026-06-19,Brazil,Haiti,,,FIFA World Cup,Philadelphia,United States,True,,1.8,1.4,1.55,0.9,0.8,1.0,2.5,1.1,,0.24506761,0.20403092,0.5509014,0.4545996,0.23166609,0.31373426,Group C,Group C
2026-06-19,United States,Australia,,,FIFA World Cup,Seattle,United States,False,,2.2,2.0,1.75,1.45,1.4,1.4,1.75,0.75,,0.36522713,0.27402535,0.36074746,0.31539044,0.2611099,0.42349964,Group D,Group D
2026-06-19,Turkey,Paraguay,,,FIFA World Cup,Santa Clara,United States,True,,2.0,0.6,1.95,1.2,1.2,1.4,1.1,1.1,,0.18801852,0.2096335,0.6023479,0.59624475,0.241942,0.16181327,Group D,Group D
2026-06-20,Germany,Ivory Coast,,,FIFA World Cup,Toronto,Canada,True,,3.0,0.8,2.45,1.05,2.6,1.2,1.85,0.55,,0.28614566,0.22822678,0.48562747,0.48688477,0.27510512,0.23801006,Group E,Group E
2026-06-20,Ecuador,Curaçao,,,FIFA World Cup,Kansas City,United States,True,,1.0,0.6,0.8,0.35,1.8,1.6,2.0,0.95,,0.33702147,0.30390987,0.35906863,0.43807295,0.2598296,0.3020975,Group E,Group E
2026-06-20,Netherlands,Sweden,,,FIFA World Cup,Houston,United States,True,,2.4,0.6,2.55,1.05,1.6,1.8,2.05,1.45,,0.17768459,0.15563722,0.66667825,0.7558406,0.11182962,0.1323297,Group F,Group F
2026-06-20,Tunisia,Japan,,,FIFA World Cup,Guadalupe,Mexico,True,,1.0,1.0,1.8,0.75,2.0,0.4,2.6,0.45,,0.44486165,0.28227678,0.2728615,0.22561674,0.17578283,0.59860045,Group F,Group F
2026-06-21,Belgium,Iran,,,FIFA World Cup,Inglewood,United States,True,,3.6,1.2,2.25,1.15,1.6,0.4,1.9,0.7,,0.26844525,0.23167059,0.49988413,0.5015686,0.2974691,0.20096228,Group G,Group G
2026-06-21,New Zealand,Egypt,,,FIFA World Cup,Vancouver,Canada,True,,1.2,1.6,2.55,1.0,1.4,0.6,1.25,0.65,,0.34786662,0.21760273,0.43453062,0.2566381,0.21537827,0.5279836,Group G,Group G
2026-06-21,Spain,Saudi Arabia,,,FIFA World Cup,Atlanta,United States,True,,3.0,0.4,2.75,1.0,0.6,1.8,1.1,1.15,,0.13636723,0.15084273,0.7127901,0.7635533,0.17525566,0.06119108,Group H,Group H
